ticker,status,semanas,svi_media,svi_std,svi_zeros_pct
PETR4,ok,261,28.89,9.54,0.0
B3SA3,ok,261,19.65,10.66,0.0
HAPV3,ok,261,10.84,9.19,0.0
BEEF3,ok,261,25.93,12.16,0.0
GMAT3,ok,261,26.54,15.33,0.0
ENEV3,ok,261,14.36,11.44,3.4
CSAN3,ok,261,18.65,9.39,0.0
COGN3,ok,261,34.65,15.75,0.0
MBRF3,ok,261,4.44,14.62,88.9
BBDC4,ok,261,24.42,9.3,0.0
VAMO3,ok,261,30.24,20.25,0.0
ITUB4,ok,261,40.11,11.0,0.0
ABEV3,ok,261,12.0,7.23,0.0
CPLE3,ok,261,40.24,19.47,0.0
BBAS3,ok,261,20.61,13.5,0.0
ITSA4,ok,261,41.75,13.22,0.0
CSNA3,ok,261,47.27,13.39,0.0
VALE3,ok,261,41.2,10.78,0.0
PRIO3,ok,261,36.24,9.96,0.0
MGLU3,ok,261,40.82,21.35,0.0
PETR3,ok,261,36.81,13.43,0.0
CMIG4,ok,261,32.31,18.35,0.0
CVCB3,ok,261,46.15,17.21,0.0
AXIA3,ok,261,5.33,19.22,92.3
RENT3,ok,261,18.39,8.45,0.0
RADL3,ok,261,16.51,9.9,0.8
LREN3,ok,261,42.24,13.91,0.0
USIM5,ok,261,51.16,15.4,0.0
CMIN3,ok,261,40.07,12.42,0.0
EQTL3,ok,261,30.49,10.43,0.0
ANIM3,ok,261,40.06,18.97,1.5
ASAI3,ok,261,32.28,12.7,0.0
VBBR3,ok,261,36.76,18.86,11.5
PCAR3,ok,261,18.96,13.51,0.0
BPAC11,ok,261,39.0,15.21,0.0
POMO4,ok,261,38.25,15.14,0.0
AMBP3,ok,261,9.84,12.16,0.0
MRVE3,ok,261,29.23,12.97,0.0
GGBR4,ok,261,43.67,13.95,0.0
RDOR3,ok,261,24.57,11.45,0.4
BRAV3,ok,261,16.37,26.07,69.0
GOAU4,ok,261,24.33,12.33,0.0
ECOR3,ok,261,36.64,14.71,0.8
VIVA3,ok,261,9.6,7.7,0.4
UGPA3,ok,261,29.23,11.62,0.8
RAIL3,ok,261,30.88,16.22,0.0
SUZB3,ok,261,27.98,9.89,0.0
CEAB3,ok,261,20.06,9.68,0.0
RCSL4,ok,261,13.97,12.89,19.5
YDUQ3,ok,261,29.43,13.09,0.0
RAPT4,ok,261,45.36,15.56,0.4
CYRE3,ok,261,35.39,14.36,0.0
DIRR3,ok,261,25.68,16.49,1.9
MOVI3,ok,261,32.27,11.85,0.0
AZEV4,ok,261,21.07,15.67,2.7
TOTS3,ok,261,30.55,14.98,0.8
BBDC3,ok,261,26.87,10.88,0.0
CASH3,ok,261,22.05,16.83,0.0
VIVT3,ok,261,36.75,12.57,0.0
WEGE3,ok,261,29.07,12.06,0.0
PGMN3,ok,261,21.16,11.0,1.9
GRND3,ok,261,26.14,14.44,0.0
ENGI11,ok,261,20.61,17.48,34.1
CURY3,ok,261,34.98,20.78,14.6
KLBN11,ok,261,45.34,16.5,0.0
ALOS3,ok,261,19.45,23.03,51.7
LWSA3,ok,261,24.32,14.92,0.0
KLBN4,ok,261,48.77,23.48,0.0
BRKM5,ok,261,26.09,12.94,0.0
SIMH3,ok,261,34.39,13.0,0.0
QUAL3,ok,261,18.34,10.23,0.0
TIMS3,ok,261,27.04,12.02,0.4
AZEV3,ok,261,23.72,20.9,30.3
ODPV3,ok,261,13.82,10.47,7.3
PLPL3,ok,261,30.33,14.83,3.1
LJQQ3,ok,261,27.67,10.81,0.4
BRAP4,ok,261,26.35,11.82,0.0
ISAE4,ok,261,14.79,25.68,73.2
JHSF3,ok,261,48.22,15.34,0.0
SMTO3,ok,261,32.26,15.87,1.5
FLRY3,ok,261,22.03,10.61,0.0
AZZA3,ok,261,12.36,21.28,66.7
CSMG3,ok,261,30.18,13.05,0.0
BHIA3,ok,261,13.14,17.4,49.4
BBSE3,ok,261,33.98,14.51,0.0
SLCE3,ok,261,34.66,13.45,0.0
DXCO3,ok,261,22.87,16.85,23.0
SBSP3,ok,261,16.92,10.22,0.4
AXIA6,ok,261,3.77,14.06,92.7
HYPE3,ok,261,11.8,7.37,0.0
SANB11,ok,261,30.46,12.23,0.0
PSSA3,ok,261,34.46,12.78,0.0
SBFG3,ok,261,14.96,9.58,2.7
MULT3,ok,261,29.05,17.19,2.3
TEND3,ok,261,35.07,18.31,5.0
ALPA4,ok,261,2.74,6.22,7.3
TAEE11,ok,261,35.06,13.56,0.0
MELK3,ok,261,23.14,18.36,18.4
ITUB3,ok,261,32.23,11.45,0.0
NEOE3,ok,261,32.04,16.88,1.5
POSI3,ok,261,23.7,15.11,0.0
HBSA3,ok,261,21.25,15.7,20.3
KEPL3,ok,261,26.36,17.06,2.7
EZTC3,ok,261,52.99,14.52,0.0
SEER3,ok,261,26.35,16.84,14.6
INTB3,ok,261,20.84,12.74,0.4
JALL3,ok,261,34.52,17.93,0.4
CPFE3,ok,261,43.52,16.58,0.0
TUPY3,ok,261,25.23,13.12,0.4
PMAM3,ok,261,15.45,12.31,4.2
BMGB4,ok,261,29.9,12.5,0.0
EGIE3,ok,261,47.09,13.84,0.0
POMO3,ok,261,25.13,15.82,3.4
MYPK3,ok,261,25.08,12.77,1.5
VULC3,ok,261,20.87,17.47,3.1
JSLG3,ok,261,21.4,16.1,24.1
BRSR6,ok,261,36.38,11.48,0.0
LIGT3,ok,261,15.86,12.82,2.7
SAPR11,ok,261,38.56,15.14,0.0
MDNE3,ok,261,24.54,18.14,19.9
HBOR3,ok,261,33.95,13.37,1.9
MDIA3,ok,261,13.79,11.78,1.1
AMER3,ok,261,3.76,8.71,6.5
GFSA3,ok,261,8.2,7.2,0.0
FESA4,ok,261,36.38,13.43,0.0
SAPR4,ok,261,52.38,14.57,0.0
MILS3,ok,261,18.67,12.49,12.3
DASA3,ok,261,8.8,8.99,14.2
KLBN3,ok,261,45.7,19.82,1.1
ALUP11,ok,261,30.01,15.11,0.4
TGMA3,ok,261,12.85,17.49,58.2
PFRM3,ok,261,17.51,25.33,64.0
LAVV3,ok,261,21.5,12.92,11.5
PNVL3,ok,261,30.96,19.46,12.6
EVEN3,ok,261,42.17,16.39,0.0
PRNR3,ok,261,17.69,15.54,34.9
ORVR3,ok,261,13.7,20.78,66.3
ESPA3,ok,261,23.95,16.15,7.3
CAML3,ok,261,32.24,14.22,0.8
RANI3,ok,261,28.27,10.83,0.0
ROMI3,ok,261,27.13,13.76,0.0
ABCB4,ok,261,32.35,12.66,0.0
USIM3,ok,261,39.04,19.08,6.5
MTRE3,ok,261,29.16,17.91,6.1
OPCT3,ok,261,10.01,9.94,23.8
SEQL3,ok,261,8.96,9.48,4.2
WIZC3,ok,261,23.75,21.11,37.2
PINE4,ok,261,31.55,20.01,6.9
TFCO4,ok,261,5.7,17.63,89.7
OIBR3,ok,261,20.45,16.65,0.0
SYNE3,ok,261,7.39,8.54,12.3
IRBR3,ok,261,24.52,16.48,0.0
LUPA3,ok,261,8.1,9.09,10.7
VLID3,ok,261,32.97,22.88,21.5
TRIS3,ok,261,34.4,17.75,3.1
CSED3,ok,261,14.75,26.53,74.3
BMOB3,ok,261,23.34,22.45,34.5
SHUL4,ok,261,27.98,13.93,2.7
AGRO3,ok,261,23.14,11.32,0.0
HBRE3,ok,261,10.59,21.5,78.2
UNIP6,ok,261,31.69,13.88,0.0
TASA4,ok,261,30.21,12.51,0.0
FRAS3,ok,261,33.89,21.51,19.2
LOGG3,ok,261,17.05,14.21,23.8
LEVE3,ok,261,25.74,14.22,0.0
PTBL3,ok,261,22.44,14.89,5.0
DEXP3,ok,261,21.59,14.14,17.6
TAEE4,ok,261,39.65,13.6,0.0
ENJU3,ok,261,23.84,17.44,6.9
LPSB3,ok,261,14.24,18.83,54.8
ITSA3,ok,261,55.3,15.41,0.0
MEAL3,ok,261,24.87,17.29,3.4
CMIG3,ok,261,29.15,14.54,2.3
AMAR3,ok,261,24.24,18.45,3.1
RCSL3,ok,261,22.92,18.95,30.7
SANB4,ok,261,30.27,16.53,1.1
ALPK3,ok,261,11.33,18.0,63.2
AERI3,ok,261,30.92,20.92,1.5
RAPT3,ok,261,6.98,19.91,88.1
TAEE3,ok,261,42.73,14.28,0.0
SANB3,ok,261,27.82,16.51,0.8
BRAP3,ok,261,30.99,17.66,12.3
SAPR3,ok,261,43.26,14.05,0.4
ETER3,ok,261,24.37,19.26,1.5
SHOW3,ok,261,12.19,12.6,29.9
TPIS3,ok,261,10.71,15.73,36.8
GOAU3,ok,261,31.22,19.19,14.6
RNEW4,ok,261,12.12,15.59,52.1
VIVR3,ok,261,6.0,9.26,7.3
BIOM3,ok,261,3.39,11.57,90.0
PTNT4,ok,261,2.27,13.79,97.3
AALR3,ok,261,6.54,12.48,65.5
PDGR3,ok,261,21.44,16.76,0.4
BOBR4,ok,261,4.61,11.92,82.4
GGBR3,ok,261,32.93,16.75,8.0
TCSA3,ok,261,11.84,12.56,32.2
RNEW3,ok,261,7.56,13.06,67.8
CSUD3,ok,261,20.17,22.75,51.0
UCAS3,ok,261,7.37,20.94,87.7
BRKM3,ok,261,8.15,13.25,62.1
EUCA4,ok,261,8.1,14.84,72.0
DMVF3,ok,261,17.37,22.63,55.2
BPAC5,ok,261,3.51,15.18,94.3
CAMB3,ok,261,15.31,23.8,67.4
BMEB4,ok,261,9.79,17.03,70.9
RSID3,ok,261,3.93,12.17,88.5
INEP3,ok,261,15.29,16.81,38.3
MNPR3,ok,261,3.39,14.51,94.3
NGRD3,ok,261,22.31,20.62,10.7
TECN3,ok,261,14.96,16.57,23.0
FICT3,ok,261,1.36,7.87,95.4
SCAR3,ok,261,1.93,7.67,85.1
PDTC3,ok,261,10.38,15.39,60.5
ALUP4,ok,261,23.85,20.18,31.8
CGRA4,ok,261,6.92,15.33,80.8
BPAC3,ok,261,4.92,10.95,78.5
BSLI3,ok,261,1.7,8.33,93.9
BAZA3,ok,261,18.97,27.06,64.4
WHRL4,ok,261,8.61,21.54,84.7
EALT4,ok,261,13.59,23.45,71.6
MGEL4,ok,261,1.38,10.18,98.1
TASA3,ok,261,24.41,22.57,39.1
UNIP3,ok,261,27.67,21.35,28.0
ALPA3,ok,261,0.5,6.21,95.4
ALUP3,ok,261,17.1,27.14,69.3
WEST3,ok,261,8.85,13.24,60.2
EPAR3,ok,261,4.82,15.16,89.3
LOGN3,ok,261,3.4,7.62,62.1
COCE5,ok,261,4.07,14.29,91.6
BEES3,ok,261,36.66,18.77,12.3
ENGI4,ok,261,10.49,22.05,79.7
FHER3,ok,261,4.91,8.75,44.8
PINE3,ok,261,1.19,8.34,97.3
HAGA4,ok,261,3.8,12.02,87.4
WHRL3,ok,261,1.32,9.88,98.1
BMEB3,ok,261,1.79,10.57,96.6
EQPA3,ok,261,4.86,15.31,89.7
LUXM4,ok,261,1.81,13.01,98.1
HAGA3,ok,261,1.69,10.53,96.9
DEXP4,ok,261,0.89,8.28,98.5
BRSR3,ok,261,8.98,18.55,78.9
HOOT4,ok,261,1.85,9.09,93.9
MWET4,ok,261,2.9,13.19,94.3
REDE3,ok,261,2.72,11.53,93.9
CEBR5,ok,261,2.58,13.93,96.6
OFSA3,ok,261,4.31,16.21,92.7
WLMM4,ok,261,0.71,8.11,99.2
TELB4,ok,261,12.42,24.74,78.2
NUTR3,ok,261,1.25,10.15,98.5
CGRA3,ok,261,2.84,12.62,94.3
BALM4,ok,261,0.98,9.29,98.9
CTSA3,ok,261,2.87,11.96,93.1
CTKA4,ok,261,1.31,10.62,98.5
OIBR4,ok,261,19.93,19.05,3.8
INEP4,ok,261,16.62,19.3,47.5
CEBR6,ok,261,16.38,23.96,64.4
BEES4,ok,261,14.34,23.14,69.7
RSUL4,ok,261,1.87,11.71,97.3
EMAE4,ok,261,4.79,12.47,84.3
ENGI3,ok,261,18.5,26.94,65.1
RPAD6,ok,261,0.38,6.19,99.6
NEXP3,ok,261,3.99,12.12,87.4
RPMG3,ok,261,4.76,13.6,82.8
CRPG5,ok,261,9.4,17.66,75.1
AVLL3,ok,261,1.39,10.06,97.7
ISAE3,ok,261,6.93,16.73,81.6
CEBR3,ok,261,6.31,11.07,67.0
EKTR4,ok,261,1.16,8.39,97.3
OSXB3,ok,261,8.21,18.4,79.3
PLAS3,ok,261,1.11,10.37,98.9
VSTE3,ok,261,3.3,14.4,94.6
EUCA3,ok,261,3.49,16.06,95.0
FESA3,ok,261,2.0,12.3,97.3
CLSC4,ok,261,3.88,11.89,88.1
BMIN4,ok,261,1.1,8.14,97.3
BGIP4,ok,261,1.82,11.15,96.9
PATI3,ok,261,1.86,11.58,97.3
MNDL3,ok,261,0.98,9.16,98.9
TELB3,ok,261,2.77,11.25,93.1
CGAS5,ok,261,5.02,13.26,81.6
MTSA4,ok,261,1.83,9.57,95.8
SOND6,ok,261,0.38,6.19,99.6
TKNO4,ok,261,0.38,6.19,99.6
BNBR3,ok,261,2.03,12.26,96.9
MRSA3B,vazio,0,,,
EALT3,ok,261,1.08,10.03,98.9
CEDO3,ok,261,0.38,6.19,99.6
CTSA4,ok,261,3.18,11.51,90.4
BGIP3,ok,261,1.05,9.78,98.9
GEPA4,ok,261,1.65,11.69,97.7
PATI4,ok,261,0.38,6.19,99.6
FIGE3,ok,261,0.77,7.61,98.9
CEDO4,ok,261,1.93,11.86,97.3
RPAD5,vazio,0,,,
DOHL4,ok,261,2.8,14.28,96.2
DTCY3,vazio,0,,,
BMKS3,ok,261,1.98,10.13,95.0
SNSY5,ok,261,0.96,9.02,98.9
JFEN3,ok,261,7.2,13.83,66.7
PPLA11,vazio,0,,,
PEAB4,ok,261,1.66,11.97,98.1
CEEB3,ok,261,1.74,9.29,95.0
MRSA5B,ok,261,0.38,6.19,99.6
AHEB3,ok,261,0.84,8.05,98.9
GSHP3,ok,261,0.75,8.61,99.2
MRSA6B,vazio,0,,,
GEPA3,ok,261,0.91,8.64,98.9
BRKM6,ok,261,2.02,13.25,97.7
ENMT3,ok,261,1.4,11.3,98.5
CEEB5,ok,261,1.21,9.14,98.1
WLMM3,vazio,0,,,
BDLL4,ok,261,0.96,9.03,98.9
SOND5,vazio,0,,,
CTKA3,vazio,0,,,
DOHL3,ok,261,0.57,6.91,99.2
ESTR4,ok,261,0.66,7.65,99.2
CBEE3,ok,261,0.92,7.61,98.1
PTNT3,ok,261,1.67,12.09,98.1
EKTR3,ok,261,0.99,9.25,98.9
EQMA3B,ok,261,0.38,6.19,99.6
UNIP5,ok,261,3.98,15.7,93.1
AXIA5,ok,261,0.41,6.2,99.2
HETA4,ok,261,1.54,11.21,98.1
MWET3,vazio,0,,,
PEAB3,ok,261,1.02,9.64,98.9
CGAS3,ok,261,2.66,11.98,93.9
RPAD3,ok,261,0.38,6.19,99.6
HBTS5,ok,261,1.27,9.51,98.1
BRSR5,ok,261,1.03,9.69,98.9
CRPG6,ok,261,2.13,13.94,97.7
AFLT3,ok,261,1.35,10.96,98.5
USIM6,ok,261,0.72,8.27,99.2
MERC4,ok,261,1.76,12.68,98.1
